Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Terkonfirmasi,2020-05-09,,6,18,,23,3,101,15,33,26,135,23,5,1,7,,1,18,51,16,6,22,1,2,,,2,4,,,12,2,,
Sembuh,2020-05-09,,2,,,,,7,,18,12,12,,18,1,,,,7,,8,,,,9,,3,10,3,,,,,,3
Meninggal,2020-05-09,,,,,,,3,,3,1,3,,,,,,,1,,,,5,,,,,,,,,,,,
Terkonfirmasi,2020-05-10,,5,10,1,,7,134,2,,19,83,2,4,4,10,,,,,13,18,,5,12,8,,2,,,17,31,,,
Sembuh,2020-05-10,,7,,,,1,51,2,,,3,,3,,,1,1,5,6,2,,,1,5,,,1,,,2,,,,
Meninggal,2020-05-10,,,,,,,7,,,,2,,,,,,1,,3,,,,,1,,,,,,,,,,
Terkonfirmasi,2020-05-11,,3,8,,,6,86,1,56,2,34,,7,7,,1,3,1,,,,17,,,,,1,,,,,,,
Sembuh,2020-05-11,,6,24,1,,1,9,,11,56,14,,3,,,,4,13,9,11,,,,11,1,1,7,,,,,,,1
Meninggal,2020-05-11,,,,,,,7,,,,6,,,,,,,,,,,3,,2,,,,,,,,,,
Terkonfirmasi,2020-05-12,,14,18,,3,10,99,,52,9,133,3,3,4,14,,2,8,1,20,3,2,,25,12,,7,,18,,14,,,
Sembuh,2020-05-12,1,5,7,,,2,112,,,,14,8,4,,,,,,,3,9,,,7,,,3,,5,,,2,,
Meninggal,2020-05-12,,,,,,,2,,3,,6,,1,,,,,,,1,1,,,,,,,,2,,,,,
Terkonfirmasi,2020-05-13,,4,21,,,12,183,,7,34,103,6,2,16,14,6,5,5,43,20,8,2,91,55,6,,7,24,,,6,6,3,
Sembuh,2020-05-13,,5,4,,,5,102,,24,,16,2,5,,,7,5,9,9,13,,5,1,5,7,,,,,,,,,
Meninggal,2020-05-13,,,1,,,,6,,,,8,,,,,,,1,,1,,,1,,,,,3,,,,,,
Terkonfirmasi,2020-05-14,,5,13,,2,4,134,1,9,43,91,,8,3,3,,,6,119,32,1,2,,37,9,,6,3,12,18,4,1,,2
Sembuh,2020-05-14,1,3,1,,,,136,,5,,4,,11,10,,6,,24,,3,4,,,5,1,,,3,,,,13,,1
Meninggal,2020-05-14,,,,,1,,3,,1,,4,,,,,,,,,2,,,,2,1,,,,,,,,1,
Terkonfirmasi,2020-05-15,,6,29,,11,3,86,3,31,43,58,,13,4,69,3,4,8,17,22,22,,17,31,1,,1,4,,,3,,,1
Sembuh,2020-05-15,,9,,,,3,114,,17,5,16,,4,47,,3,,50,,2,,,7,,,4,1,,,,,2,,1
Meninggal,2020-05-15,,,3,,,,8,,1,4,11,,,4,,,,,,,,,2,,,,,,,,,,,
Terkonfirmasi,2020-05-16,1,3,4,,3,6,107,10,22,31,184,2,2,,7,12,1,7,,3,9,,6,46,1,,,3,,14,15,1,28,1
Sembuh,2020-05-16,2,11,,,,6,19,,3,13,8,,2,,,6,3,,,3,1,,,19,1,4,1,,,3,,1,1,1
Meninggal,2020-05-16,,,1,,,1,,,,,5,,,,,,,,2,1,1,,,1,,,,1,,,,,,
Terkonfirmasi,2020-05-17,,2,24,,9,5,132,1,31,17,47,1,1,,2,2,,6,63,12,,16,2,34,2,1,4,4,22,3,33,,12,1
Sembuh,2020-05-17,,7,1,16,,8,11,1,58,,10,2,3,,49,12,,12,,4,,5,,7,2,,6,,,,,,4,
Meninggal,2020-05-17,,,,,,,3,,10,,11,1,,,27,,,,,,1,2,,1,,,,,2,,,,,1
Terkonfirmasi,2020-05-18,,11,27,,1,1,49,1,25,8,144,,1,,66,,11,4,16,1,2,7,,66,,16,2,1,23,,,,9,4
Sembuh,2020-05-18,,7,3,1,,5,1,,77,5,25,8,10,,,,3,13,,12,,,,18,2,,1,,4,,,,,
Meninggal,2020-05-18,,,1,,,,,,13,,15,,,,8,,,,2,,,1,,2,,1,,,,,,,,
Terkonfirmasi,2020-05-19,,4,21,,1,7,98,3,21,10,81,,3,5,46,5,13,,60,11,10,10,11,47,,1,5,2,,,6,2,3,
Sembuh,2020-05-19,,10,,,,5,22,,14,,38,,5,,,10,,,4,10,,,1,21,,,1,,,,,2,,
Meninggal,2020-05-19,,,,,,,7,,1,,13,,,,3,,,,5,,,1,,,,,,,,,,,,
Terkonfirmasi,2020-05-20,,8,1,6,,2,81,5,176,17,119,,6,9,63,,,18,49,8,26,15,,37,,1,1,1,17,1,20,1,5,
Sembuh,2020-05-20,,9,,,,2,,,1,1,12,,4,18,3,,,,,28,,16,,9,,3,1,,,1,,,,
Meninggal,2020-05-20,,,,,,,2,,,,6,,,,5,,1,,1,1,1,2,,1,,,,,1,,,,,
